archivo,nodos,densidad,particiones,i,j,varsel,nodesel,tt,ta
instancia-20-25-10.1.1.-1.0.col.solved,20,25,10,1,1,-1,0,4.32361,4.31948
instancia-20-25-10.1.1.0.0.col.solved,20,25,10,1,1,0,0,0.394962,0.390945
instancia-20-25-10.1.1.0.1.col.solved,20,25,10,1,1,0,1,0.55357,0.549151
instancia-20-25-10.1.1.0.2.col.solved,20,25,10,1,1,0,2,0.590676,0.586122
instancia-20-25-10.1.1.0.3.col.solved,20,25,10,1,1,0,3,0.547152,0.541826
instancia-20-25-10.1.1.1.0.col.solved,20,25,10,1,1,1,0,5.00531,5.00243
instancia-20-25-10.1.1.2.0.col.solved,20,25,10,1,1,2,0,0.409971,0.402695
instancia-20-25-10.1.1.3.0.col.solved,20,25,10,1,1,3,0,1.87158,1.86578
instancia-20-25-10.1.1.4.0.col.solved,20,25,10,1,1,4,0,0.326081,0.316851
instancia-20-25-10.1.2.-1.0.col.solved,20,25,10,1,2,-1,0,0.092521,0.0892401
instancia-20-25-10.1.2.0.0.col.solved,20,25,10,1,2,0,0,0.0418539,0.0384469
instancia-20-25-10.1.2.0.1.col.solved,20,25,10,1,2,0,1,0.0433221,0.040659
instancia-20-25-10.1.2.0.2.col.solved,20,25,10,1,2,0,2,0.048619,0.0456409
instancia-20-25-10.1.2.0.3.col.solved,20,25,10,1,2,0,3,0.0425749,0.038511
instancia-20-25-10.1.2.1.0.col.solved,20,25,10,1,2,1,0,0.0781901,0.075146
instancia-20-25-10.1.2.2.0.col.solved,20,25,10,1,2,2,0,0.0526109,0.049051
instancia-20-25-10.1.2.3.0.col.solved,20,25,10,1,2,3,0,0.0657358,0.0612919
instancia-20-25-10.1.2.4.0.col.solved,20,25,10,1,2,4,0,0.039907,0.0365329
instancia-20-25-10.1.3.-1.0.col.solved,20,25,10,1,3,-1,0,0.0494421,0.0472181
instancia-20-25-10.1.3.0.0.col.solved,20,25,10,1,3,0,0,0.0681982,0.0671229
instancia-20-25-10.1.3.0.1.col.solved,20,25,10,1,3,0,1,0.075479,0.071141
instancia-20-25-10.1.3.0.2.col.solved,20,25,10,1,3,0,2,0.077131,0.0749049
instancia-20-25-10.1.3.0.3.col.solved,20,25,10,1,3,0,3,0.0702181,0.067848
instancia-20-25-10.1.3.1.0.col.solved,20,25,10,1,3,1,0,0.0513201,0.0503881
instancia-20-25-10.1.3.2.0.col.solved,20,25,10,1,3,2,0,0.0686851,0.0677388
instancia-20-25-10.1.3.3.0.col.solved,20,25,10,1,3,3,0,0.051909,0.049696
instancia-20-25-10.1.3.4.0.col.solved,20,25,10,1,3,4,0,0.032285,0.0312002
