archivo,instancia,particiones,i,algs,tt,ta
myciel3-10.1.col.0,myciel3,10,1,0,0.131217,0.128942
myciel3-10.1.col.11,myciel3,10,1,11,0.057806,0.046411
myciel3-10.1.col.19,myciel3,10,1,19,0.0622182,0.045589
myciel3-10.1.col.3,myciel3,10,1,3,0.105516,0.102165
myciel3-10.1.col.8,myciel3,10,1,8,0.0577319,0.0482819
myciel3-10.2.col.0,myciel3,10,2,0,0.106909,0.104009
myciel3-10.2.col.11,myciel3,10,2,11,0.0586538,0.0502648
myciel3-10.2.col.19,myciel3,10,2,19,0.0609419,0.051831
myciel3-10.2.col.3,myciel3,10,2,3,0.0734339,0.069536
myciel3-10.2.col.8,myciel3,10,2,8,0.067461,0.05968
myciel3-10.3.col.0,myciel3,10,3,0,0.133928,0.130807
myciel3-10.3.col.11,myciel3,10,3,11,0.05475,0.0460341
myciel3-10.3.col.19,myciel3,10,3,19,0.0558791,0.044755
myciel3-10.3.col.3,myciel3,10,3,3,0.100386,0.0969779
myciel3-10.3.col.8,myciel3,10,3,8,0.0595798,0.0504301
myciel3-10.4.col.0,myciel3,10,4,0,0.11831,0.116253
myciel3-10.4.col.11,myciel3,10,4,11,0.075958,0.0614691
myciel3-10.4.col.19,myciel3,10,4,19,0.072839,0.061588
myciel3-10.4.col.3,myciel3,10,4,3,0.156207,0.150006
myciel3-10.4.col.8,myciel3,10,4,8,0.072026,0.0628691
myciel3-10.5.col.0,myciel3,10,5,0,0.142275,0.138761
myciel3-10.5.col.11,myciel3,10,5,11,0.0768631,0.062752
myciel3-10.5.col.19,myciel3,10,5,19,0.0719261,0.060915
myciel3-10.5.col.3,myciel3,10,5,3,0.12526,0.121063
myciel3-10.5.col.8,myciel3,10,5,8,0.074439,0.0644569
myciel3-5.1.col.0,myciel3,5,1,0,0.0202401,0.019923
myciel3-5.1.col.11,myciel3,5,1,11,0.029901,0.0218511
myciel3-5.1.col.19,myciel3,5,1,19,0.0255032,0.015898
myciel3-5.1.col.3,myciel3,5,1,3,0.024395,0.0217068
myciel3-5.1.col.8,myciel3,5,1,8,0.0245788,0.0206852
myciel3-5.2.col.0,myciel3,5,2,0,0.00704408,0.00674796
myciel3-5.2.col.11,myciel3,5,2,11,0.0094769,0.00261903
myciel3-5.2.col.19,myciel3,5,2,19,0.00677681,0.00175905
myciel3-5.2.col.3,myciel3,5,2,3,0.0108378,0.00855708
myciel3-5.2.col.8,myciel3,5,2,8,0.00590682,0.00191903
myciel3-5.3.col.0,myciel3,5,3,0,0.00915909,0.00886607
myciel3-5.3.col.11,myciel3,5,3,11,0.0126209,0.00218606
myciel3-5.3.col.19,myciel3,5,3,19,0.00848603,0.00181389
myciel3-5.3.col.3,myciel3,5,3,3,0.0152948,0.011972
myciel3-5.3.col.8,myciel3,5,3,8,0.0127418,0.00907183
myciel3-5.4.col.0,myciel3,5,4,0,0.0155549,0.0144918
myciel3-5.4.col.11,myciel3,5,4,11,0.0117669,0.00618196
myciel3-5.4.col.19,myciel3,5,4,19,0.01542,0.0018239
myciel3-5.4.col.3,myciel3,5,4,3,0.010509,0.00878406
myciel3-5.4.col.8,myciel3,5,4,8,0.00951195,0.00526094
myciel3-5.5.col.0,myciel3,5,5,0,0.013387,0.0130029
myciel3-5.5.col.11,myciel3,5,5,11,0.0114589,0.00658703
myciel3-5.5.col.19,myciel3,5,5,19,0.00886202,0.00214291
myciel3-5.5.col.3,myciel3,5,5,3,0.0134749,0.011827
myciel3-5.5.col.8,myciel3,5,5,8,0.0120838,0.00903201
myciel4-10.1.col.0,myciel4,10,1,0,0.0473831,0.045656
myciel4-10.1.col.11,myciel4,10,1,11,0.0315659,0.0129421
myciel4-10.1.col.19,myciel4,10,1,19,0.035707,0.012965
myciel4-10.1.col.3,myciel4,10,1,3,0.028095,0.019089
myciel4-10.1.col.8,myciel4,10,1,8,0.0301139,0.0130332
myciel4-10.2.col.0,myciel4,10,2,0,0.0624161,0.0609879
myciel4-10.2.col.11,myciel4,10,2,11,0.0598018,0.0280561
myciel4-10.2.col.19,myciel4,10,2,19,0.0776989,0.0285161
myciel4-10.2.col.3,myciel4,10,2,3,0.0927131,0.0864091
myciel4-10.2.col.8,myciel4,10,2,8,0.141722,0.114006
myciel4-10.3.col.0,myciel4,10,3,0,0.0388732,0.0376971
myciel4-10.3.col.11,myciel4,10,3,11,0.032989,0.0105112
myciel4-10.3.col.19,myciel4,10,3,19,0.0336542,0.00948811
myciel4-10.3.col.3,myciel4,10,3,3,0.0471029,0.039423
myciel4-10.3.col.8,myciel4,10,3,8,0.0342431,0.014967
myciel4-10.4.col.0,myciel4,10,4,0,0.0850461,0.0838702
myciel4-10.4.col.11,myciel4,10,4,11,0.11157,0.0776031
myciel4-10.4.col.19,myciel4,10,4,19,0.0816081,0.026521
myciel4-10.4.col.3,myciel4,10,4,3,0.0869591,0.079555
myciel4-10.4.col.8,myciel4,10,4,8,0.162601,0.137122
myciel4-10.5.col.0,myciel4,10,5,0,0.0777769,0.0766771
myciel4-10.5.col.11,myciel4,10,5,11,0.041079,0.0176711
myciel4-10.5.col.19,myciel4,10,5,19,0.0473111,0.020896
myciel4-10.5.col.3,myciel4,10,5,3,0.084141,0.0782249
myciel4-10.5.col.8,myciel4,10,5,8,0.029876,0.016048
myciel4-15.1.col.0,myciel4,15,1,0,1.33175,1.32629
myciel4-15.1.col.11,myciel4,15,1,11,0.745846,0.667465
