archivo,nodos,densidad,particiones,i,j,algs,tt,ta
instancias/solved/instancia-30-10-10.1.1.col.0,30,10,10,1,1,0,0.0160501,0.0111699
instancias/solved/instancia-30-10-10.1.1.col.11,30,10,10,1,1,11,0.0283129,0.0124309
instancias/solved/instancia-30-10-10.1.1.col.19,30,10,10,1,1,19,0.0262051,0.00893497
instancias/solved/instancia-30-10-10.1.1.col.3,30,10,10,1,1,3,0.021517,0.0153661
instancias/solved/instancia-30-10-10.1.1.col.8,30,10,10,1,1,8,0.022373,0.00833106
instancias/solved/instancia-30-10-10.1.2.col.0,30,10,10,1,2,0,0.263918,0.261761
instancias/solved/instancia-30-10-10.1.2.col.11,30,10,10,1,2,11,0.331807,0.285033
instancias/solved/instancia-30-10-10.1.2.col.19,30,10,10,1,2,19,0.244979,0.192188
instancias/solved/instancia-30-10-10.1.2.col.3,30,10,10,1,2,3,0.275228,0.267449
instancias/solved/instancia-30-10-10.1.2.col.8,30,10,10,1,2,8,0.332932,0.302228
instancias/solved/instancia-30-10-10.1.3.col.0,30,10,10,1,3,0,0.0129049,0.00984216
instancias/solved/instancia-30-10-10.1.3.col.11,30,10,10,1,3,11,0.0128212,0.00471687
instancias/solved/instancia-30-10-10.1.3.col.19,30,10,10,1,3,19,0.0151491,0.00492597
instancias/solved/instancia-30-10-10.1.3.col.3,30,10,10,1,3,3,0.0102811,0.00476885
instancias/solved/instancia-30-10-10.1.3.col.8,30,10,10,1,3,8,0.0174921,0.00694513
instancias/solved/instancia-30-10-10.1.4.col.0,30,10,10,1,4,0,0.0142961,0.010911
instancias/solved/instancia-30-10-10.1.4.col.11,30,10,10,1,4,11,0.013206,0.00438905
instancias/solved/instancia-30-10-10.1.4.col.19,30,10,10,1,4,19,0.0157201,0.00446486
instancias/solved/instancia-30-10-10.1.4.col.3,30,10,10,1,4,3,0.0126951,0.00595808
instancias/solved/instancia-30-10-10.1.4.col.8,30,10,10,1,4,8,0.014498,0.00598407
instancias/solved/instancia-30-10-10.1.5.col.0,30,10,10,1,5,0,0.0133009,0.0110319
instancias/solved/instancia-30-10-10.1.5.col.11,30,10,10,1,5,11,0.01195,0.00506091
instancias/solved/instancia-30-10-10.1.5.col.19,30,10,10,1,5,19,0.014096,0.00487804
instancias/solved/instancia-30-10-10.1.5.col.3,30,10,10,1,5,3,0.0126131,0.00526214
instancias/solved/instancia-30-10-10.1.5.col.8,30,10,10,1,5,8,0.0160761,0.00767589
instancias/solved/instancia-30-10-10.2.1.col.0,30,10,10,2,1,0,0.00847983,0.00754595
instancias/solved/instancia-30-10-10.2.1.col.11,30,10,10,2,1,11,0.0224042,0.00635195
instancias/solved/instancia-30-10-10.2.1.col.19,30,10,10,2,1,19,0.0169868,0.00566316
instancias/solved/instancia-30-10-10.2.1.col.3,30,10,10,2,1,3,0.0163162,0.0070219
instancias/solved/instancia-30-10-10.2.1.col.8,30,10,10,2,1,8,0.0187941,0.00875711
instancias/solved/instancia-30-10-10.2.2.col.0,30,10,10,2,2,0,0.013531,0.0126169
instancias/solved/instancia-30-10-10.2.2.col.11,30,10,10,2,2,11,0.012639,0.00416398
instancias/solved/instancia-30-10-10.2.2.col.19,30,10,10,2,2,19,0.0148101,0.00485897
instancias/solved/instancia-30-10-10.2.2.col.3,30,10,10,2,2,3,0.0147052,0.00487185
